Date,Product_ID,Quantity_Sold,Price,Promotion,Holiday,Month,Year,Week_of_year,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Std_7,Price_Change,Promotion_Holiday,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6
2023-01-01,0,31,24.04167764,0,0,1,2023,52,0.0,0.0,31.0,0.0,0.0,0,False,False,False,False,False,False,True
2023-01-02,0,1,87.39463661,0,0,1,2023,1,0.0,0.0,16.0,21.213203435596427,63.35295897,0,True,False,False,False,False,False,False
2023-01-03,0,62,63.81099809,1,0,1,2023,1,0.0,0.0,31.333333333333332,30.501366089625122,-23.583638520000008,0,False,True,False,False,False,False,False
2023-01-04,0,9,74.9556569,0,0,1,2023,1,0.0,0.0,25.75,27.29316153666824,11.144658809999996,0,False,False,True,False,False,False,False
2023-01-05,0,18,39.19105189,0,0,1,2023,1,0.0,0.0,24.2,23.889328161335975,-35.76460501,0,False,False,False,True,False,False,False
2023-01-07,0,49,11.4929046,0,0,1,2023,1,0.0,0.0,28.333333333333332,23.64459064282287,-27.698147289999998,0,False,False,False,False,False,True,False
2023-01-10,0,7,72.27056779,0,0,1,2023,2,0.0,0.0,25.285714285714285,23.041370660287594,60.77766319,0,False,True,False,False,False,False,False
2023-01-12,0,31,60.11211362,1,0,1,2023,2,31.0,0.0,25.285714285714285,23.041370660287594,-12.158454169999999,0,False,False,False,True,False,False,False
2023-01-13,0,19,73.17701895,0,0,1,2023,2,1.0,0.0,27.857142857142858,20.772004970059836,13.064905330000002,0,False,False,False,False,True,False,False
2023-01-14,0,21,97.82668715,0,0,1,2023,2,62.0,0.0,22.0,14.317821063276357,24.649668199999994,0,False,False,False,False,False,True,False
2023-01-16,0,61,78.70279807,1,0,1,2023,3,9.0,0.0,29.428571428571427,19.12988188547909,-19.123889079999998,0,True,False,False,False,False,False,False
2023-01-17,0,12,58.54397036,0,0,1,2023,3,18.0,0.0,28.571428571428573,19.848233698553155,-20.158827709999997,0,False,True,False,False,False,False,False
2023-01-20,0,31,31.44125372,0,0,1,2023,3,49.0,0.0,26.0,17.823205847059803,-27.102716640000004,0,False,False,False,False,True,False,False
2023-01-23,0,13,98.74009574,0,0,1,2023,4,7.0,0.0,26.857142857142858,16.876300655342803,67.29884202,0,True,False,False,False,False,False,False
2023-01-24,0,21,20.69361246,0,0,1,2023,4,31.0,0.0,25.428571428571427,16.890403023187883,-78.04648328,0,False,True,False,False,False,False,False
2023-01-25,0,40,60.04045348,0,0,1,2023,4,19.0,0.0,28.428571428571427,17.415100180180257,39.34684102,0,False,False,True,False,False,False,False
2023-01-26,0,40,35.28668706,1,0,1,2023,4,21.0,0.0,31.142857142857142,17.544501241401075,-24.753766419999998,0,False,False,False,True,False,False,False
2023-01-28,0,51,44.2801771,1,0,1,2023,4,61.0,0.0,29.714285714285715,14.918827989203061,8.993490040000005,0,False,False,False,False,False,True,False
2023-01-30,0,53,70.4415876,0,0,1,2023,5,12.0,0.0,35.57142857142857,14.853250405855539,26.161410500000002,0,True,False,False,False,False,False,False
2023-01-31,0,55,67.54252213,1,1,1,2023,5,31.0,0.0,39.0,16.3197222198582,-2.8990654700000107,1,False,True,False,False,False,False,False
2023-02-02,0,31,90.47955366,0,0,2,2023,5,13.0,0.0,41.57142857142857,12.514753198487288,22.93703153,0,False,False,False,True,False,False,False
2023-02-04,0,35,74.84644553,0,0,2,2023,5,21.0,0.0,43.57142857142857,9.413769044280182,-15.633108129999997,0,False,False,False,False,False,True,False
2023-02-07,0,61,46.93571443,1,0,2,2023,6,40.0,0.0,46.57142857142857,11.252512946850931,-27.9107311,0,False,True,False,False,False,False,False
2023-02-09,0,24,20.50264577,0,0,2,2023,6,40.0,0.0,44.285714285714285,14.079705083491467,-26.433068659999996,0,False,False,False,True,False,False,False
2023-02-11,0,19,39.95342073,0,0,2,2023,6,51.0,0.0,39.714285714285715,16.519829354589657,19.450774959999997,0,False,False,False,False,False,True,False
2023-02-12,0,48,51.58052233,1,0,2,2023,6,53.0,0.0,39.0,15.947831618540922,11.627101600000003,0,False,False,False,False,False,False,True
2023-02-14,0,31,58.1562747,0,0,2,2023,7,55.0,0.0,35.57142857142857,14.443650771846013,6.5757523699999965,0,False,True,False,False,False,False,False
2023-02-15,0,42,52.14086456,0,0,2,2023,7,31.0,0.0,37.142857142857146,14.461772268392881,-6.01541014,0,False,False,True,False,False,False,False
2023-02-17,0,18,11.17017312,0,0,2,2023,7,35.0,0.0,34.714285714285715,16.20405592965628,-40.970691439999996,0,False,False,False,False,True,False,False
2023-02-21,0,21,61.59649404,1,0,2,2023,8,61.0,0.0,29.0,11.860297916438153,50.42632092,0,False,True,False,False,False,False,False
2023-02-22,0,15,42.01054448,0,0,2,2023,8,24.0,31.0,27.714285714285715,12.932056883500621,-19.585949560000003,0,False,False,True,False,False,False,False
2023-02-23,0,22,95.52136184,0,0,2,2023,8,19.0,1.0,28.142857142857142,12.641579165971487,53.51081736,0,False,False,False,True,False,False,False
2023-02-25,0,50,89.64985209,0,0,2,2023,8,48.0,62.0,28.428571428571427,13.17645808322738,-5.871509750000001,0,False,False,False,False,False,True,False
2023-02-26,0,47,88.30889865,0,0,2,2023,8,31.0,9.0,30.714285714285715,14.9634475273836,-1.3409534399999927,0,False,False,False,False,False,False,True
2023-02-27,0,31,14.22508214,0,0,2,2023,9,42.0,18.0,29.142857142857142,14.13539966925323,-74.08381651,0,True,False,False,False,False,False,False
2023-02-28,0,56,78.24146281,0,0,2,2023,9,18.0,49.0,34.57142857142857,16.27735792296715,64.01638067,0,False,True,False,False,False,False,False
2023-03-01,0,22,39.61462288,1,0,3,2023,9,21.0,7.0,34.714285714285715,16.142225019229194,-38.62683993,0,False,False,True,False,False,False,False
2023-03-02,0,10,96.59097753,0,0,3,2023,9,15.0,31.0,34.0,17.2336879396141,56.976354650000005,0,False,False,False,True,False,False,False
2023-03-04,0,34,78.49251123,0,1,3,2023,9,22.0,19.0,35.714285714285715,16.41863053276457,-18.0984663,0,False,False,False,False,False,True,False
2023-03-06,0,61,57.43216866,1,0,3,2023,10,50.0,21.0,37.285714285714285,18.418417283743345,-21.060342570000003,0,True,False,False,False,False,False,False
2023-03-08,0,35,10.11086516,0,0,3,2023,10,47.0,61.0,35.57142857142857,17.91514389985136,-47.3213035,0,False,False,True,False,False,False,False
2023-03-09,0,3,81.78031906,0,0,3,2023,10,31.0,12.0,31.571428571428573,21.808692019904544,71.6694539,0,False,False,False,True,False,False,False
2023-03-10,0,44,74.96988651,0,0,3,2023,10,56.0,31.0,29.857142857142858,19.96186841145365,-6.810432550000002,0,False,False,False,False,True,False,False
2023-03-11,0,26,88.38722114,0,0,3,2023,10,22.0,13.0,30.428571428571427,19.75565018635719,13.41733463,0,False,False,False,False,False,True,False
2023-03-12,0,10,88.46495011,0,0,3,2023,10,10.0,21.0,30.428571428571427,19.75565018635719,0.07772897000000967,0,False,False,False,False,False,False,True
2023-03-14,0,47,21.84109166,0,1,3,2023,11,34.0,40.0,32.285714285714285,20.73414483176874,-66.62385845,0,False,True,False,False,False,False,False
2023-03-16,0,60,40.33028588,1,0,3,2023,11,61.0,40.0,32.142857142857146,20.50551609875233,18.489194219999998,0,False,False,False,True,False,False,False
2023-03-17,0,65,39.08175914,1,0,3,2023,11,35.0,51.0,36.42857142857143,24.03370648940874,-1.2485267399999955,0,False,False,False,False,True,False,False
2023-03-18,0,29,18.45106442,0,0,3,2023,11,3.0,53.0,40.142857142857146,19.608064424521626,-20.63069472,0,False,False,False,False,False,True,False
2023-03-20,0,25,38.63003983,1,1,3,2023,12,44.0,55.0,37.42857142857143,20.288396871587654,20.17897541,1,True,False,False,False,False,False,False
2023-03-21,0,22,81.8032284,0,0,3,2023,12,26.0,31.0,36.857142857142854,20.715763494084822,43.17318856999999,0,False,True,False,False,False,False,False
2023-03-23,0,21,44.2067058,0,0,3,2023,12,10.0,35.0,38.42857142857143,18.65348173806652,-37.59652259999999,0,False,False,False,True,False,False,False
2023-03-24,0,27,21.09003888,1,0,3,2023,12,47.0,61.0,35.57142857142857,18.65348173806652,-23.11666692,0,False,False,False,False,True,False,False
2023-03-26,0,19,25.72960985,0,1,3,2023,12,60.0,24.0,29.714285714285715,15.944845412800209,4.639570969999998,0,False,False,False,False,False,False,True
2023-03-28,0,13,45.18153963,0,0,3,2023,13,65.0,19.0,22.285714285714285,5.376314900074494,19.451929780000004,0,False,True,False,False,False,False,False
2023-03-29,0,44,16.24814585,0,0,3,2023,13,29.0,48.0,24.428571428571427,9.727232269204258,-28.933393780000003,0,False,False,True,False,False,False,False
2023-03-30,0,49,50.17171161,0,0,3,2023,13,25.0,31.0,27.857142857142858,13.47130990201737,33.92356576,0,False,False,False,True,False,False,False
2023-03-31,0,8,44.2818573,0,0,3,2023,13,22.0,42.0,25.857142857142858,15.388616695776289,-5.889854310000004,0,False,False,False,False,True,False,False
2023-04-01,0,39,29.07842418,1,0,4,2023,13,21.0,18.0,28.428571428571427,15.935883438089704,-15.20343312,0,False,False,False,False,False,True,False
2023-04-03,0,43,34.99773614,1,0,4,2023,14,27.0,21.0,30.714285714285715,16.819772944506788,5.919311960000002,0,True,False,False,False,False,False,False
2023-04-05,0,23,27.897065,0,0,4,2023,14,19.0,15.0,31.285714285714285,16.418630532764574,-7.100671139999999,0,False,False,True,False,False,False,False
2023-04-06,0,25,67.3002714,0,0,4,2023,14,13.0,22.0,33.0,14.73091986265625,39.4032064,0,False,False,False,True,False,False,False
2023-04-08,0,17,69.42724477,0,0,4,2023,14,44.0,50.0,29.142857142857142,14.904457626591375,2.1269733700000018,0,False,False,False,False,False,True,False
2023-04-10,0,20,70.8384048,0,0,4,2023,15,49.0,47.0,25.0,12.26104943849972,1.411160030000005,0,True,False,False,False,False,False,False
2023-04-11,0,25,77.33727154,0,0,4,2023,15,8.0,31.0,27.428571428571427,9.76144017477519,6.498866739999997,0,False,True,False,False,False,False,False
2023-04-12,0,47,78.50093833,0,0,4,2023,15,39.0,56.0,28.571428571428573,11.631238725334246,1.1636667899999935,0,False,False,True,False,False,False,False
2023-04-13,0,24,78.06381921,1,0,4,2023,15,43.0,22.0,25.857142857142858,9.771191865693323,-0.4371191199999913,0,False,False,False,True,False,False,False
2023-04-14,0,44,22.40406092,0,0,4,2023,15,23.0,10.0,28.857142857142858,11.767590682726485,-55.659758290000006,0,False,False,False,False,True,False,False
2023-04-15,0,41,84.26176009,0,0,4,2023,15,25.0,34.0,31.142857142857142,12.428845098245896,61.85769917,0,False,False,False,False,False,True,False
2023-04-16,0,69,91.35219972,1,0,4,2023,15,17.0,61.0,38.57142857142857,17.193575765937922,7.090439630000006,0,False,False,False,False,False,False,True
2023-04-17,0,28,32.22809192,1,0,4,2023,16,20.0,35.0,39.714285714285715,15.976172734359608,-59.124107800000004,0,True,False,False,False,False,False,False
2023-04-18,0,28,75.77388685,1,0,4,2023,16,25.0,3.0,40.142857142857146,15.550225844325345,43.54579493,0,False,True,False,False,False,False,False
2023-04-19,0,15,22.68636648,0,0,4,2023,16,47.0,44.0,35.57142857142857,17.746897783905258,-53.08752036999999,0,False,False,True,False,False,False,False
2023-04-20,0,40,18.47367191,0,0,4,2023,16,24.0,26.0,37.857142857142854,17.02379287378474,-4.21269457,0,False,False,False,True,False,False,False
2023-04-21,0,18,38.50855094,1,1,4,2023,16,44.0,10.0,34.142857142857146,18.25220143278223,20.03487903,1,False,False,False,False,True,False,False
2023-04-22,0,9,60.37801153,0,0,4,2023,16,41.0,47.0,29.571428571428573,20.156530313665474,21.869460590000003,0,False,False,False,False,False,True,False
2023-04-23,0,52,76.4262211,1,0,4,2023,16,69.0,60.0,27.142857142857142,14.971401308590266,16.048209570000004,0,False,False,False,False,False,False,True
2023-04-25,0,24,53.11630568,0,0,4,2023,17,28.0,65.0,26.571428571428573,15.009520788010372,-23.309915420000003,0,False,True,False,False,False,False,False
2023-04-26,0,23,88.54784556,0,0,4,2023,17,28.0,29.0,25.857142857142858,15.049125904058075,35.431539879999995,0,False,False,True,False,False,False,False
2023-04-27,0,42,85.43369652,0,0,4,2023,17,15.0,25.0,29.714285714285715,15.261217576090148,-3.114149040000001,0,False,False,False,True,False,False,False
2023-04-28,0,34,90.3270961,0,0,4,2023,17,40.0,22.0,28.857142857142858,14.747073963203395,4.893399580000008,0,False,False,False,False,True,False,False
2023-04-29,0,31,27.64879415,0,0,4,2023,17,18.0,21.0,30.714285714285715,13.948886284267624,-62.678301950000005,0,False,False,False,False,False,True,False
2023-05-01,0,39,41.07008285,0,0,5,2023,18,9.0,27.0,35.0,10.29563014098702,13.421288699999998,0,True,False,False,False,False,False,False
2023-05-03,0,14,57.69923706,1,1,5,2023,18,52.0,19.0,29.571428571428573,9.84644001415648,16.629154210000003,1,False,False,True,False,False,False,False
2023-05-06,0,44,56.55154435,0,0,5,2023,18,24.0,13.0,32.42857142857143,10.814452411120111,-1.1476927100000012,0,False,False,False,False,False,True,False
2023-05-08,0,14,78.05922526,0,0,5,2023,19,23.0,44.0,31.142857142857142,12.522360951894198,21.507680910000005,0,True,False,False,False,False,False,False
2023-05-09,0,52,62.46859835,1,0,5,2023,19,42.0,49.0,32.57142857142857,14.397420403868011,-15.590626910000005,0,False,True,False,False,False,False,False
2023-05-10,0,40,54.27379901,0,0,5,2023,19,34.0,8.0,33.42857142857143,14.672617840239514,-8.194799340000003,0,False,False,True,False,False,False,False
2023-05-12,0,46,93.63316582,0,0,5,2023,19,31.0,39.0,35.57142857142857,15.339025858434255,39.359366810000004,0,False,False,False,False,True,False,False
2023-05-13,0,13,66.88808466,0,0,5,2023,19,39.0,43.0,31.857142857142858,17.382256963434234,-26.745081159999998,0,False,False,False,False,False,True,False
2023-05-14,0,24,62.72783096,0,0,5,2023,19,14.0,23.0,33.285714285714285,16.02824887206218,-4.1602537000000055,0,False,False,False,False,False,False,True
2023-05-15,0,34,36.0973107,0,0,5,2023,20,44.0,25.0,31.857142857142858,15.345233477408915,-26.630520259999997,0,True,False,False,False,False,False,False
