Date,Product_ID,Quantity_Sold,Price,Promotion,Holiday
1/1/2023,0,31,24.04167764,0,0
1/1/2023,1,38,68.57996257,0,0
1/1/2023,3,40,29.11051996,0,0
1/1/2023,2,24,36.21062262,0,0
1/2/2023,0,1,87.39463661,0,0
1/2/2023,1,40,18.79049026,0,0
1/2/2023,2,18,64.8996992,1,0
1/2/2023,4,10,38.05399685,0,0
1/3/2023,0,62,63.81099809,1,0
1/3/2023,2,24,58.57229192,0,1
1/3/2023,3,42,82.19772827,0,1
1/3/2023,4,36,11.26718404,0,0
1/3/2023,1,36,79.4143312,0,0
1/4/2023,4,49,52.49934326,0,0
1/4/2023,0,9,74.9556569,0,0
1/4/2023,1,36,67.27693701,0,0
1/4/2023,3,47,22.5398309,0,0
1/4/2023,2,59,93.67278871,1,0
1/5/2023,0,18,39.19105189,0,0
1/5/2023,2,56,48.43970098,1,0
1/5/2023,1,42,24.81902678,0,0
1/5/2023,4,37,94.86187335,0,0
1/6/2023,2,21,32.66040662,0,0
1/7/2023,3,23,57.7841125,0,0
1/7/2023,1,12,17.27679937,0,0
1/7/2023,2,50,67.01767397,0,0
1/7/2023,4,39,23.56457896,0,0
1/7/2023,0,49,11.4929046,0,0
1/8/2023,3,53,22.37688497,0,0
1/8/2023,1,28,98.3951509,0,0
1/8/2023,2,10,18.3792491,1,1
1/8/2023,4,71,73.0322047,1,0
1/9/2023,4,46,90.86987697,0,0
1/10/2023,0,7,72.27056779,0,0
1/10/2023,2,48,11.62678273,0,0
1/10/2023,4,8,69.18516031,0,0
1/10/2023,3,41,33.86821309,0,1
1/10/2023,1,34,49.0954929,0,0
1/11/2023,2,27,61.48037793,0,0
1/12/2023,1,33,39.76752742,0,0
1/12/2023,4,41,16.78116304,0,0
1/12/2023,0,31,60.11211362,1,0
1/12/2023,3,42,16.33745178,0,0
1/12/2023,2,12,39.02956878,1,0
1/13/2023,3,28,65.03623398,0,0
1/13/2023,0,19,73.17701895,0,0
1/13/2023,4,25,12.48550947,0,0
1/13/2023,2,37,63.17499345,0,0
1/13/2023,1,12,37.29389632,0,0
1/14/2023,3,44,57.82191684,0,0
1/14/2023,0,21,97.82668715,0,0
1/14/2023,1,41,76.96383787,0,0
1/14/2023,2,31,48.54830274,0,0
1/15/2023,2,52,69.14001957,0,0
1/16/2023,4,29,11.29541398,0,0
1/16/2023,0,61,78.70279807,1,0
1/16/2023,2,45,68.47963144,0,1
1/17/2023,0,12,58.54397036,0,0
1/17/2023,3,25,67.81773504,0,0
1/18/2023,1,72,66.33457031,1,0
1/18/2023,4,39,16.24251708,0,0
1/19/2023,2,25,12.09447422,1,0
1/20/2023,2,15,88.97248122,0,0
1/20/2023,3,15,61.16682554,0,0
1/20/2023,4,52,43.48162772,0,0
1/20/2023,0,31,31.44125372,0,0
1/21/2023,3,32,45.02815109,0,1
1/21/2023,2,19,70.9092914,0,0
1/21/2023,4,30,50.36009698,0,0
1/21/2023,1,42,80.31664454,0,1
1/22/2023,4,41,41.58235113,0,0
1/22/2023,3,53,17.56961255,0,0
1/23/2023,4,62,17.63539427,1,0
